committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00573758,VAN HOLLEN FOR SENATE,2021,Q3,202110159467836617,21,500764628,1544504,ORG,ORGANIZATION,,,DEMOCRATIC CONFERENCE LUNCHEON FUND,DC,,,,,VOIDED UNCASHED CHECK OF 3/23/21 - OFFICIALLY CONNECTED MEALS,,,2021-07-15 00:00:00,-1000.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-02 03:52:38.197,,,,0.00,,,,,,,,,,,,S,,P,F3,4101620211373828212,WASHINGTON,205100001,TRAVEL,,2022,SB,4110220211376859219,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467836617,Other Disbursements,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2021,Q2,202107159451583135,17,500757018,1527557,ORG,ORGANIZATION,,,AMERICAN AIRLINES,TX,,,,,TRAVEL EXPENSE REFUND,X,,2021-05-31 00:00:00,-492.80,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-07-31 04:54:55.78,,500756253,SB17,0.00,,,,,,,,,,,,S,,P,F3,4071620211320722013,FORT WORTH,761552605,MATERIALS,*,2022,SB,4073120211324265525,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451583135,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2021,YE,202201319486081394,17,500782556,1565641,ORG,ORGANIZATION,,,HOWARD COUNTY GOVERNMENT,MD,,,,,REFUND: VENUE RENTAL 10/19/21,X,,2021-10-29 00:00:00,-385.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-26 04:33:30.068,,500778385,SB17,0.00,,,,,,,,,,,,S,,P,F3,4013120221403735093,ELLICOTT CITY,210434300,ADMINISTRATIVE,*,2022,SB,4022420221453297044,https://docquery.fec.gov/cgi-bin/fecimg/?202201319486081394,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2021,Q2,202107159451583160,17,500756199,1527557,ORG,ORGANIZATION,,,VERIZON,NJ,,,,,VOIDED DUPLICATE TELEPHONE PAYMENT CK DATED 3/29/21,,,2021-04-01 00:00:00,-124.72,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-07-31 04:54:55.786,,,,0.00,,,,,,,,,,,,S,,P,F3,4071620211320722013,TRENTON,086504830,OTHER,,2022,SB,4073120211324265601,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451583160,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2022,12P,202207079517843541,17,500808575,1607415,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC. PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2022-05-12 00:00:00,0.30,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-07-09 03:34:16.507,,,,0.00,,,,,,,,,,,,S,,P,F3,4070720221539522060,WASHINGTON,200011801,OTHER,,2022,SB,4070820221539614293,https://docquery.fec.gov/cgi-bin/fecimg/?202207079517843541,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2022,12P,202207079517843541,17,500808573,1607415,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC. PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2022-04-26 00:00:00,0.38,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-07-09 03:34:16.507,,,,0.00,,,,,,,,,,,,S,,P,F3,4070720221539522060,WASHINGTON,200011801,OTHER,,2022,SB,4070820221539614291,https://docquery.fec.gov/cgi-bin/fecimg/?202207079517843541,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2022,Q1,202204159499771556,17,500798370,1586865,PAC,POLITICAL ACTION COMMITTEE,C00441949,C00441949,JSTREETPAC,DC,,,,,CREDIT CARD PROCESSING FEE,,,2022-02-10 00:00:00,0.81,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-05-10 03:36:51.843,,,,0.00,,,,,,,,,,,,S,,P,F3,4041620221470869139,WASHINGTON,200330106,OTHER,,2022,SB,4050920221476021271,https://docquery.fec.gov/cgi-bin/fecimg/?202204159499771556,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2021,Q3,202110159467836588,17,500760319,1544504,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC. PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2021-08-12 00:00:00,1.20,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-02 03:52:38.193,,,,0.00,,,,,,,,,,,,S,,P,F3,4101620211373828212,WASHINGTON,200011801,OTHER,,2022,SB,4110220211376859134,https://docquery.fec.gov/cgi-bin/fecimg/?202110159467836588,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2022,Q1,202204159499771556,17,500798371,1586865,PAC,POLITICAL ACTION COMMITTEE,C00441949,C00441949,JSTREETPAC,DC,,,,,CREDIT CARD PROCESSING FEE,,,2022-03-10 00:00:00,1.63,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-05-10 03:36:51.843,,,,0.00,,,,,,,,,,,,S,,P,F3,4041620221470869139,WASHINGTON,200330106,OTHER,,2022,SB,4050920221476021272,https://docquery.fec.gov/cgi-bin/fecimg/?202204159499771556,Operating Expenditures,,,,,,
C00573758,VAN HOLLEN FOR SENATE,2022,12P,202207079517843541,17,500808574,1607415,PAC,POLITICAL ACTION COMMITTEE,C00468314,C00468314,"DEMOCRACY ENGINE, INC. PAC",DC,,,,,CREDIT CARD PROCESSING FEE,,,2022-05-10 00:00:00,2.00,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-07-09 03:34:16.507,,,,0.00,,,,,,,,,,,,S,,P,F3,4070720221539522060,WASHINGTON,200011801,OTHER,,2022,SB,4070820221539614292,https://docquery.fec.gov/cgi-bin/fecimg/?202207079517843541,Operating Expenditures,,,,,,
