committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720555,30B,B932344ECF9404DEC940,1651324,ORG,ORGANIZATION,,,"ELECTION CONNECTIONS, INC.",FL,,,,,TELEPHONE CALLS - GOTV,,,2022-10-19 00:00:00,58044.39,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,TALLAHASSEE,32302,OTHER,,2022,SB,4120120221632540301,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720555,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720554,30B,BFBB7A51649B54D59BDD,1651324,ORG,ORGANIZATION,,,STORYTELLERS GROUP LLC,TN,,,,,EXEMPT-MASS MAILING/SALAZAR,,,2022-10-19 00:00:00,69967.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,GALLATIN,370661832,MATERIALS,,2022,SB,4120120221632540300,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720554,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720554,30B,B3EAE1FC16E9F4F8CB96,1651324,ORG,ORGANIZATION,,,RETAILFIRST INSURANCE COMPANY,FL,,,,,WORKERS COMP,,,2022-10-19 00:00:00,328.80,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,LAKELAND,338022034,OTHER,,2022,SB,4120120221632540299,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720554,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720554,30B,B2CBFEFA9D7DD40199EB,1651324,ORG,ORGANIZATION,,,"ELECTION CONNECTIONS, INC.",FL,,,,,TELEPHONE CALLS - GOTV,,,2022-10-19 00:00:00,509502.85,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,TALLAHASSEE,32302,OTHER,,2022,SB,4120120221632540298,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720554,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720553,30B,B982D148B46384E7CA09,1651324,ORG,ORGANIZATION,,,PREMIUM SERVICE ACCOUNT,FL,,,,,HEALTH INSURANCE,,,2022-10-19 00:00:00,8899.81,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,PONTE VEDRA BEACH,320042165,OTHER,,2022,SB,4120120221632540296,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720553,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720552,30B,B8A9F7E3DFEBF43FC8BA,1651324,ORG,ORGANIZATION,,,PREMIUM SERVICE ACCOUNT,FL,,,,,HEALTH INSURANCE,,,2022-10-19 00:00:00,4405.95,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,PONTE VEDRA BEACH,320042165,OTHER,,2022,SB,4120120221632540293,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720552,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720552,30B,BC81C2C97796F455D959,1651324,ORG,ORGANIZATION,,,RETAILFIRST INSURANCE COMPANY,FL,,,,,WORKERS COMP,,,2022-10-19 00:00:00,32.96,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,LAKELAND,338022034,OTHER,,2022,SB,4120120221632540292,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720552,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720548,21B,B6DADF4B7DABF450BAFB,1651324,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,CREDIT CARD SERVICE FEES,,,2022-10-19 00:00:00,5.58,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,ARLINGTON,222092517,OTHER,,2022,SB,4120120221632540282,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720548,Other Federal Operating Expenditures,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720547,21B,B1656D07AA75C4790876,1651324,ORG,ORGANIZATION,,,WINRED TECHNICAL SERVICES LLC,VA,,,,,CREDIT CARD SERVICE FEES,,,2022-10-19 00:00:00,7.84,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,ARLINGTON,222092517,OTHER,,2022,SB,4120120221632540281,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720547,Other Federal Operating Expenditures,,,,,,
C00099259,REPUBLICAN PARTY OF FLORIDA,2022,12G,202210279541720555,30B,BC9D1BDEB10174CF485F,1651324,ORG,ORGANIZATION,,,"ELECTION CONNECTIONS, INC.",FL,,,,,TELEPHONE CALLS - GOTV,,,2022-10-18 00:00:00,143534.82,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592347250,TALLAHASSEE,32302,OTHER,,2022,SB,4120120221632540302,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541720555,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
